"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"1つ",0.00563047251561706,0.0149760128774526,0.0204765673911529,-0.0147730170327335,-0.0469663806412957,-0.0130431543008207,0.00651873255488197,0.0194076405712969,0.00260049799478508,0.0287696273200941,-0.0579892043963806,-0.00802943519841734,-0.0408787354980664,-0.268204226987972
"20",-0.0143275038852683,-0.0334194957092663,-0.0221894720196027,-0.0394263225436907,0.0395917465045396,-0.0155908366224451,0.0109922470346323,0.0249913472486237,-0.0112099729015632,0.0531398772544892,-0.0365395572768501,0.0289418590797071,0.00499858129930407,-0.156477414291223
"2008年",-0.0468814084490707,0.01804229708853,0.0758852316331999,0.0486645831155229,0.0329086055072037,0.00705976445808183,0.00776357931375708,-0.0120726621592513,0.0395125668400771,0.0404053120499999,0.0250760923525267,0.0488029392189197,0.00679065536752648,0.32892924788482
"2009年",-0.033273291476181,0.024225335100222,0.0505998965160473,-0.040121582238437,-0.041289662041164,0.0346881540416847,0.0222306678970116,0.0650904563566222,-0.0283184195919405,-0.00667643914783356,-0.00902002774109525,0.017480973409582,-0.0104805488764684,0.00364672440346325
"2010年",-0.0599723103548827,-0.0320804119145948,-0.000141106062555479,-0.0448250306167643,-0.0394718291014079,0.0185276007890533,0.0376277867754067,0.0483687533458307,-0.0204915970685697,-0.0987654481604514,-0.0557250408205012,-0.0720177443927065,-0.0313367798739901,-0.00263066664766852
"2011年",-0.0852152221522098,-0.0796625539793951,-0.13759906954605,-0.0460149120913822,0.00559162605348939,-0.00217863312972668,0.00364683522332436,-0.0533777507354304,0.00361234469568734,0.0172821618148161,0.0126657218458725,0.0063404490223827,-0.00169149331971894,3.36624690445372e-05
"2012年",-0.0250194518732219,0.0455402542243826,-0.0993420632431392,-0.0652290226540447,0.0436661101706779,0.0403910608014299,0.02978013294324,-0.072147511984256,0.0372772536251782,0.0240977216623907,0.00511315075566925,-0.0228200569296931,0.00927057903919702,-0.00480937431450494
"2013年",0.00738753072985289,0.0733681465287117,-0.0684039282595776,0.0453600388651127,-0.00223791779660938,0.0346364967836113,-0.0469439933200503,-0.0534542336284722,-0.0803854490133313,0.0468401135776583,-0.0804242952700483,-0.0225100075959959,0.0130770997772114,-0.0122619798952853
"2014年",0.0296695726992579,0.0676856968850641,-0.0951027141995995,0.0697706201790268,0.0704543087822579,0.0202123840817635,0.0372218052638878,0.0623395752064282,-0.0535204396307042,-0.0401397330509616,-0.0100360748191694,0.0498014747919968,0.0370427743166696,-0.0021700542046923
"2015年",0.0271002189050678,0.0451080962697834,-0.0158257816410463,-0.0161777840614989,0.106942671315209,-0.0389244107195234,-0.0975286305425968,0.0690022179099194,-0.0203268992799147,-0.0381780484907745,-0.0142830795465523,-0.0213295767848909,0.00403250577519957,0.00618003668107874
"2016年",0.0370888803647738,0.0297463007656804,0.00091884810919845,-0.00618791415500771,-0.0270873849434147,-0.131976004353987,-0.0319504535964984,0.00688487463680842,0.0216084619655382,-0.0455035899095836,0.0305208475269004,0.0363813642883442,-0.0978791309152411,0.0046863801580302
"2017年",0.0523715666895852,0.000673717516370259,0.0213002823924971,-0.0136305894855225,-0.00815325798983474,-0.095844057182101,0.0280754409654508,-0.0558516757876166,-0.0501350200188522,-0.100982096055871,-0.0249679577315038,0.116785473835576,0.0698061402381807,-0.0221959625344792
"2018年",0.0369252502968897,-0.0102911753538352,0.0208412058040549,0.00801531547758013,0.00437036104319978,-0.0720883118942888,0.09304724710526,-0.0386080259160573,-0.0984874650726343,0.0336286814686882,0.00150395898249235,-0.0151053395444826,-0.0132778161173602,-0.0154222394270478
"2019年",0.0637355229816381,-0.0607166085003289,0.0374070549625263,0.00349899462568918,-0.0167098339652886,0.0504968968798368,0.0169812694862834,-0.0124924510036383,-0.00711322954260395,0.0351557321889019,0.0892644058665233,-0.0915322033961439,0.0450945876651987,0.0030710565712155
"2020年",0.045221331674132,-0.0468147023063253,0.0206329265346294,-0.00576348317569674,-0.0031310137230102,0.068822999749004,-0.0136970746909211,-0.0187606422479231,0.0330892314103602,-0.012228984128488,-0.0156527989864003,0.0322887526659679,-0.0203751793097771,0.00604514384513557
"2つ",0.00703533799233497,0.0274075134261746,0.00880895753908706,-0.0117807618525746,-0.0408810504128454,0.020676071973093,0.0480509007636999,-0.0258544673823932,0.0447315035403241,0.0221144129620652,0.004977258137862,0.0134995397363849,-0.0108176242277898,-0.00759137424510492
"2種",0.0330803018705511,0.0193587938453624,-0.0251210133899831,-0.0592466213594438,-0.00466348396195092,-0.038734124240685,0.0628720570563066,0.0604385362199299,0.0798971488468184,0.0342758817195608,-0.0236065232565766,-0.0143908794861682,-0.00318713305326819,0.0344825381330284
"３",-0.0565726315632508,0.0451203450543963,0.0499572257618258,0.0324254981436981,0.0212003861038871,-0.00193956809456408,0.0868891223268156,-0.00969332898915959,0.0444914262634804,-0.0125178187503711,0.00586364237130263,0.0267363671561021,-0.0613045808815506,-0.0043941988581742
"30",-0.00160473297706712,-0.00315188041234541,0.0329820090397593,0.0350442025555343,0.0199108641644803,-0.0248746759214399,0.0354242337413421,-0.0295955533546388,-0.00951056525897609,0.0145915391847619,0.0179346047523004,-0.0221798139679879,0.00545112994379097,0.000967988217837679
"3つ",0.00919544553369529,0.00290404981742063,0.0295600427615298,-0.00327034806155896,-0.0100665704390977,0.0264571186207781,-0.0233175398760772,-0.0834970005419875,0.0313047027981808,0.0426551042945915,-0.0210464954372006,0.0335041930070195,-0.0601025200889625,0.00906739118508438
"3種",-0.00136364076800195,0.0149425544892507,0.0108252904316534,-0.0538726087276708,-0.0321918398568077,-0.023715062955818,-0.000632315323663688,0.0404656849796435,0.0644849540145525,-0.0137268425999566,-0.00381326839841649,0.00713423652418009,-0.00870724394138243,0.00013819243823504
"4",0.0353518105551268,0.0745413271553967,0.0488429834914943,-0.000315499953248435,0.0612960128836857,-0.0187004426849409,-0.0121256864631937,-0.0122724698700896,-0.00620548099142282,-0.0358213969505494,0.0167140124554046,-0.0233792030461441,-0.00877980415487529,-0.0168155458910856
"４",-0.00425639961339136,0.00496154143524575,0.0252062591353197,-0.0131428223726701,-0.0125278890460687,0.00840581654937413,0.00627529159330123,0.0218806444731351,-0.0248251550101793,0.0454277912763728,0.0497798037711757,0.00655165203727468,0.0211965745584122,-0.00136681023186225
"4つ",0.000198179597422512,0.00070117383244352,-0.0109660377373548,-0.0276993131934558,0.0154569835425189,-0.0199723694095328,0.0398353721326125,-0.0307492218859394,-0.00534730076534094,0.00692086904917042,-0.00912481744320043,0.0103022767796414,-0.0146926816084539,0.00155311397743494
"4月",0.00513000975930453,-0.00953025029919765,0.0167968671558907,-0.00946584022950992,-0.00998467841154221,0.0344708102934299,0.00297452584574715,-0.00118211045976565,-0.006197086967817,-0.0419271909206431,-0.00813314986380084,-0.00476813365423067,-0.0217715990443239,-0.000216718628701023
"50",-0.00361218288275159,0.0087493720996398,0.00762815123946562,-0.00722077593306131,-0.0171400520359249,-0.00679582858822556,-0.00191319653558238,0.0204017209004322,0.00737482685057736,-0.0261277445278936,-0.00388710898385626,-0.0238839421066834,-0.0400527870121836,-0.00167375278496376
"5月",-0.00675482318066787,-0.007286595574186,-0.0109171512292396,-0.0522773386663876,-0.00213012100113816,0.0134643642531507,0.0402320756589106,0.0029990135484811,0.0596083697369888,0.00274910087139505,-0.0364165343943611,-0.032238555905761,0.00532232887578951,0.00772886595258436
"5種",0.0066454159557293,0.0188302733479448,-0.0269450869449567,0.0220516136967207,-0.0120630559375222,-0.00569714072387084,-0.000690374633768595,0.0195353593957765,0.0176843251798092,-0.00564930576951273,0.0264719528393324,0.00574539762553031,-0.0449091425603091,-0.000653793111729626
"6",0.0381691128698996,-0.0155733904118099,-0.026654148810322,0.0106858490674626,0.0154118036862764,-0.00505722724243031,-0.026669735496847,-0.0181113227245538,0.0211789004520777,-0.0336792107608111,-0.00571535602786425,-0.0437227056027844,-0.0686439645590403,0.0172512453737066
"6月",0.0199208071533455,-0.00121318950397863,0.0138523962291068,-0.00907777514495488,-0.0348059587284759,-0.0295636636920752,-0.0052838614542763,0.0374344234645186,0.040372497775506,-0.0182417987973443,0.00275753309073727,-0.0422853748530173,0.00948360588530913,0.00454020160510373
"7",0.0430317172301868,0.0142429262778533,-0.0320191753813479,0.0371971327999884,0.0268773386233598,0.0248148570615091,0.0132870110961723,0.017272810174205,-0.0357313872557757,-0.0135318675091943,0.0529107662353305,-0.00611273131998563,-0.0489925670375645,-0.0198115817349607
"7月",-0.00741641486259518,0.0363381160200938,-0.0546511962961781,-0.00589121149514739,-0.0333883731551193,0.0275711516958085,0.0473823382553452,-0.0198984825242605,0.00284292250841682,-0.0295869229653287,0.0416862736353467,-0.0495824176647044,0.0507090223618733,-0.0140199358460527
